epoch,train_time_s,lr_G,train/G_L1,train/G_NCE,train/G_NCE_L0,train/G_NCE_L1,train/G_NCE_L2,train/G_NCE_L3,train/G_NCE_L4,train/G_total,val/mae_norm,val/mae_norm__n,val/mae_norm/brain,val/mae_norm/spine,val/mae_norm/abdomen,val/mae_norm/musculoskeletal,val/mae_norm__macro,val/mae_hu,val/mae_hu__n,val/mae_hu/brain,val/mae_hu/spine,val/mae_hu/abdomen,val/mae_hu/musculoskeletal,val/mae_hu__macro,val/psnr,val/psnr__n,val/psnr/brain,val/psnr/spine,val/psnr/abdomen,val/psnr/musculoskeletal,val/psnr__macro,val/ssim,val/ssim__n,val/ssim/brain,val/ssim/spine,val/ssim/abdomen,val/ssim/musculoskeletal,val/ssim__macro,val/mae_band_soft,val/mae_band_soft__n,val/mae_band_soft/spine,val/mae_band_soft/abdomen,val/mae_band_soft/musculoskeletal,val/mae_band_soft__macro,val/mae_band_bone,val/mae_band_bone__n,val/mae_band_bone/spine,val/mae_band_bone/abdomen,val/mae_band_bone/musculoskeletal,val/mae_band_bone__macro,val/dice_bone,val/dice_bone__n,val/dice_bone/spine,val/dice_bone/abdomen,val/dice_bone/musculoskeletal,val/dice_bone__macro,val/n_samples,val/n_bone_eligible,is_best,train/D_real,train/D_fake,train/D_acc_real,train/D_acc_fake,train/D_score_real,train/D_score_fake,train/D_total,train/G_GAN
0,35.7,0.0002,0.35764240501892,3.781492624964033,5.547957156953357,4.98500782421657,3.6522175050917127,2.798614639895303,1.9236658039547148,39.54573307945615,0.14676192603681398,230,0.18689812992660093,0.1663925035132302,0.14002745765003752,0.10402432523135628,0.14933560408030624,43.42635286048703,230,14.951850394128074,83.19625175661511,56.01098306001501,52.01216261567814,51.542811956609086,13.428254449919484,230,10.975049169869909,12.921419934141499,14.20277245068478,15.319940047304911,13.354795400500274,0.34490671663180644,230,0.30646556280028653,0.2170852952533298,0.32459175840337223,0.44828744498746737,0.324107515361114,43.10886528207071,159,58.08467271592882,48.21313776868455,32.13415312767029,46.143987870761215,173.4109519011055,153,171.6837446424696,160.21232418484158,195.69653263798466,175.86420048843195,0.0001595994262435638,153,0.0,5.49965641564793e-06,0.00044303228033068417,0.0001495106455821107,230,159,True,,,,,,,,
1,37.2,0.0002,0.29065675770952587,3.2829909404118855,5.2914497148422965,4.522028382619222,2.9640989246822538,2.2092818333989097,1.4280956126394726,32.34866658165341,0.14386435831370561,230,0.18394204921705623,0.16647391352388594,0.13677774845285617,0.10131327395460435,0.14712674628710068,42.493645491159484,230,14.715363937364497,83.23695676194296,54.711099381142475,50.65663697730218,50.83001426443803,13.588204131073262,230,11.100091674996598,13.017861200547243,14.370585862335265,15.521153917100927,13.502423163745007,0.35414134963699007,230,0.31462192997126515,0.22097432944509718,0.33372908577005916,0.4599116135920797,0.3323092396946253,42.2961497396793,159,59.46179962158203,47.07800739369494,31.51069494656154,46.016833987279504,166.98942580877565,153,165.05346171061197,154.94137700398764,187.39216783311633,169.12900218257198,0.0006634306976361675,153,0.0,3.6636702134273946e-05,0.0018186591397453514,0.0006184319472932084,230,159,True,,,,,,,,
2,40.7,0.0002,0.26876183783724195,3.1525371574220205,5.25479154586792,4.325384631611052,2.788900643303281,2.0835005402565003,1.3101081189655122,30.02872092837379,0.1404600274465654,230,0.1774075602141904,0.16629842585987514,0.13545281138825924,0.09786820418334433,0.14425675041141728,41.692840363992296,230,14.192604817135233,83.14921292993758,54.1811245553037,48.934102091672166,50.114261098512166,13.766536782163142,230,11.37457512026261,13.157757597307278,14.425663884697503,15.790650050384759,13.687161663163037,0.3689716127903565,230,0.32993925457269374,0.2269033756521013,0.3442310262867745,0.4828203038445541,0.3459734900890309,42.207317868118764,159,62.18341742621528,47.09556283342077,30.79160496166774,46.69019507376793,156.144979788587,153,150.62290954589844,144.17057927449545,177.02265901918764,157.2720492798605,0.008045976578010126,155,0.0007603189183606042,0.002960333526298991,0.017924681757533648,0.007215111400731081,230,159,True,,,,,,,,
3,39.2,0.0002,0.25263543852737974,3.0634696733383904,5.235738172985259,4.185316071056184,2.67905832529068,1.9906237999598184,1.2266117215156556,28.32701345171247,0.1369398699020562,230,0.1683147715430864,0.1681057016054789,0.13561667327551133,0.09437326242082886,0.1416026022112264,41.10496444579052,230,13.465181723446912,84.05285080273946,54.246669310204524,47.186631210414426,49.73783326170133,13.966319079584567,230,11.772721924147517,13.227099693827105,14.429520423893138,16.088773474992454,13.879528879215053,0.38256999772527944,230,0.3455621841507898,0.23214543031321633,0.3518118417643486,0.5052957572042942,0.3587038033581622,42.87787803314017,159,67.24436781141493,47.947062066260806,30.45284754889352,48.548092475523084,141.50689836888532,153,129.9324247572157,129.6792527940538,163.14871992888274,140.9201324933841,0.060568142734365,156,0.09844212689333492,0.04239022478890625,0.08556222628060452,0.07546485932094855,230,159,True,,,,,,,,
4,38.7,0.0002,0.24088084648052852,3.023814024244036,5.218622666313535,4.1114762760344,2.683743973573049,1.9331917155356635,1.1720353890032995,27.11189859481085,0.1334224122211985,230,0.15774002104577883,0.17164557344383663,0.13663881573271244,0.09104918708492603,0.13926839932681348,40.67550047810959,230,12.619201683662308,85.82278672191832,54.655526293084975,45.524593542463016,49.655527060282154,14.155886238267074,230,12.239492267697516,13.141675100909776,14.382864092869921,16.36759969923113,14.032907790177084,0.3931402953422588,230,0.36094719612262616,0.2360107335779402,0.35651923652659073,0.5206805744341442,0.36853943516532534,43.99602928401539,159,73.44935099283855,49.2255799313809,30.48428542273385,51.0530721156511,125.66558339237388,153,108.34967973497179,114.51341942681206,147.13850727787724,123.33386881322036,0.17880488660150937,157,0.35118696259127724,0.15644000453795207,0.18900600197311077,0.23221098970078002,230,159,True,,,,,,,,
5,53.7,0.0002,0.23216634137289865,2.9899255003247944,5.210392036892119,4.053011223248073,2.669600374358041,1.8861440144834065,1.1304796536763508,26.490038217817034,0.13017911891574446,230,0.14783428284064146,0.17759806911150613,0.1377351499618368,0.08749065268784761,0.137664538650458,40.29334761461486,230,11.826742627251317,88.79903455575307,55.09405998473472,43.74532634392381,49.86629087791573,14.302676483610519,230,12.646505458589074,12.868615084746363,14.30041864960682,16.636728836514937,14.113067007364299,0.4022553230109422,230,0.37550718116928156,0.2378800395462248,0.3604019953215376,0.5328394020242351,0.3766571545153198,45.099646946169294,159,79.81719546847873,50.46914770248088,30.50695037841797,53.59776451645919,112.44857673395693,153,95.3460939195421,102.92072177463108,131.1787488019025,109.81518816535856,0.2753426873318429,159,0.42822946939203477,0.25970382346434795,0.27702254742117866,0.3216519467591871,230,159,True,0.2811470805889084,0.27202544481981367,0.5060000115916843,0.5219094038009644,0.45013340541294644,0.4414642333984375,0.27658626224313465,0.2834785884334928
6,53.4,0.0002,0.22172432598613556,2.940200177828471,5.2101114545549665,4.001201206161863,2.590922212033045,1.8220725601627714,1.0766932873498827,25.343538057236444,0.12727792941681718,230,0.1398944196776605,0.1844085173474418,0.13798883327461303,0.08412130330024022,0.13660326839998888,39.86180545810772,230,11.19155357421284,92.20425867372089,55.19553330984522,42.06065165012011,50.162999301974764,14.406432601699436,230,12.936355914111314,12.503527519580855,14.226894447220909,16.877471478106667,14.136062339754936,0.41000775034013004,230,0.38830626052869877,0.23778603805436027,0.36409963065005363,0.5422606867338929,0.3831131539917514,45.77692135025121,159,84.93297153049045,51.15331292659678,30.45932742527553,55.51520396078758,104.12194904003267,153,92.24151611328125,96.94678247239855,118.06063214054814,102.416310242076,0.3341383457337094,158,0.4381423112418916,0.3010155029911944,0.37372946442866867,0.3709624262205849,230,159,True,0.21736207583120892,0.21294691669089452,0.5101951183307738,0.5371309657891591,0.45510137648809523,0.44081914992559523,0.21515449654488336,0.230905395817189
7,53.0,0.0002,0.2157886503707795,2.936275102978661,5.213590537934076,3.964129338945661,2.652245189462389,1.7980836697987148,1.0533265671559742,24.751969001406714,0.12469672473228496,230,0.133983655242433,0.19009874926673043,0.13720039436791806,0.0814228812897844,0.13567642004171648,39.36976972967386,230,10.71869241939464,95.0493746333652,54.880157747167225,40.7114406448922,50.339916361204814,14.483420106897071,230,13.096584759459251,12.179759901003564,14.210097443317942,17.070751926496452,14.139298507569302,0.4167459980301235,230,0.3993334581314678,0.2359366946750217,0.3678218424320221,0.5500039389090878,0.38827398353689985,45.858198855657996,159,88.23577880859375,51.12915408357661,30.19984151635851,56.52159146950962,101.0216999427945,153,94.0648701985677,95.69141370985243,111.06498195506909,100.27375528782973,0.3615303475091446,158,0.4381781501902474,0.3191155919686277,0.42147865290330216,0.39292413168739243,230,159,True,0.20834594170252482,0.20450768449476786,0.5399662835257394,0.565363769871848,0.46302897135416665,0.43358444940476193,0.20642681299220947,0.23682885929232553
8,52.9,0.0002,0.20884971214192255,2.90347215788705,5.218213921501523,3.9474706127530053,2.5831296438262576,1.7582168434347425,1.0103295194251196,24.048219426472983,0.12259407422464827,230,0.12971532281855463,0.19391921990447575,0.13601641745326368,0.07957201663936887,0.13480574420391572,38.92023167532423,230,10.37722582548437,96.95960995223787,54.40656698130547,39.786008319684434,50.382352769678036,14.534080505053936,230,13.175557601009128,11.954325569439385,14.222414925175505,17.194249882130446,14.136636994438616,0.4221893798397935,230,0.40864710845577884,0.23410899440447488,0.3709442694770529,0.5556048282555172,0.39232630014820596,45.65258037519155,159,90.18237813313802,50.79470285456231,29.864585859434946,56.947222282378426,100.87824079725478,153,96.65872192382812,96.30992516411675,109.19535333138926,100.72133347311137,0.37298748704097884,158,0.43630247314771015,0.32995258224137286,0.4361774175173857,0.4008108243021562,230,159,True,0.20246134875785737,0.19904804002671014,0.5804206496193296,0.6007632414499918,0.48083031063988096,0.41679803757440476,0.20075469449872063,0.25977613010576794
9,53.1,0.0002,0.20207970823560442,2.8716607933952694,5.222338542484102,3.8946023248490835,2.5463315577734082,1.7079715762819563,0.9870597755625135,23.39351813906715,0.12071632260213727,230,0.12653467861909262,0.19677545461389753,0.13431382662755378,0.07829130753608686,0.1339788168491577,38.463317445762776,230,10.12277428952741,98.38772730694876,53.72553065102151,39.14565376804343,50.34542150388528,14.580418897111866,230,13.213920722993242,11.787527400119812,14.273980313932837,17.276179980222206,14.137902104317025,0.42673403458750764,230,0.41654875160942617,0.2325871934493383,0.37433075968255386,0.558812329279525,0.3955697585052108,45.16315068538834,159,91.57732391357422,50.124391839859335,29.375932335853577,57.02588269642904,102.77333230909959,153,98.72651841905382,98.25884068806967,110.97195399249041,102.6524376998713,0.3755988942081981,158,0.435050818655226,0.33690115952111305,0.43200834403661165,0.4013201074043169,230,159,True,0.18087797576472872,0.1766221893330415,0.6530496195668266,0.676657423377037,0.5244710286458333,0.3734712146577381,0.17875008306332996,0.31388656617630095
